review_text,review_rating,author_id,author_name,author_photo,author_app_version,review_timestamp,review_datetime_utc,review_likes,app_developer_reply,app_developer_reply_timestamp,app_developer_reply_datetime_utc
"The miny game is easy but doesn't let you mix lare colors of you need to like others of a similar nature, and you have to watch a tone of overly long adds to get the comes for any of the good design options, also you can't change anything after it's been sulected, in like another simeler game Project Makeover.",2,104400905632937293951,Clayton Schriner,https://play-lh.googleusercontent.com/a-/ACNPEu_HNm2zMQ6lvsbzZsgN-mwS542vV4be3fpK8ixV,1.6.0,1663642277,2022-09-20T02:51:17.000Z,2,,,
"I love the game but sometimes the options just look bad together, also you can't buy any of the clothes options even if you have the in-game tokens to do so. could be good but just isn't.",1,101009427502219080734,dead zero,https://play-lh.googleusercontent.com/a-/ACNPEu9x8P14MlwFyTg2eiuxS98cBhvekATkc3T8HFfhjQ,1.6.0,1663633768,2022-09-20T00:29:28.000Z,1,,,
There's something weird about this game. You have to register your email and then it sends you a passcode and then you put in the passcode and it doesn't work the game never starts. It's very suspicious and I'm wondering if it's a scam to get into your email and steal from you.,1,112399215783805020754,Karen Stinson,https://play-lh.googleusercontent.com/a-/ACNPEu8J7rf5FQBeZLELI_LlppGwV11ddqcQYtN_K1mn,1.6.0,1663638963,2022-09-20T01:56:03.000Z,9,,,
In order to use the coins you have you have to pay 1000 dollars just to use them I am not spending that much money for a little kids game that is very dumb don't waste your time on this game you can't choose any other options besides Normal rarity also this games is about nfts the graphics is so low like I can make this game will I no but 1/5 don't recommend,1,101388955233416163057,Joanna Lopez,https://play-lh.googleusercontent.com/a-/ACNPEu8VegvuwckDmEqkrlVQ5UZUl2vMy2x_F--h3KrwFw,1.7.0,1663655626,2022-09-20T06:33:46.000Z,2,,,
"Laggy, the tokens wont claim so i cant get any token iteams and has the ""error"" message scrolling across the screen constantly. If it was all fix i would totally play it.",1,118172249828207481722,Erin Brenner,https://play-lh.googleusercontent.com/a-/ACNPEu9n4C3BuTV24oPwGVqqC579Nwj5PJVCQdfuSOfqcQ,1.6.0,1663627965,2022-09-19T22:52:45.000Z,1,fixed,1663628662.0,2022-09-19T23:04:22.000Z
"I like the game, but everytime I try to use the coins, or whatever you call them, to do a task, it tells me I need to buy some when I have more than enough. If this worked properly, I would love this game.",2,109993309197545395278,Michele Hlubik,https://play-lh.googleusercontent.com/a-/ACNPEu9YYSfz4XdoQd6GJAawsqAGRgQOU-sdif63vFN9,1.6.0,1663461135,2022-09-18T00:32:15.000Z,93,,,
Faulty token system they have claimed that it was fixed in a comment below but It still doesn't work you can't purchase anything because the token system doesn't work uninstalled don't waste your time playing because the token you collect are not valued,1,100428732989724934799,Marisol. Roman,https://play-lh.googleusercontent.com/a-/ACNPEu_-qWFxorhnjINIS6wS_crR2bGJOHv1Apv-gT5h,1.6.0,1663164948,2022-09-14T14:15:48.000Z,87,"Dear player,
Please kindly report your problem or suggestion along with your detailed information through nonogram@minijoy.work. We will check it and solve it as soon as possible.",1663165941.0,2022-09-14T14:32:21.000Z
It's a good game but when you try to pay the coins that you earned by playing a game it makes you pay actual cash and that doesn't make any sense you have to pay real money to use the fake money it shouldn't be like that,3,116290757733886644321,Luna-Scarlett Everfree,https://play-lh.googleusercontent.com/a-/ACNPEu-FZ-hghOBthMvSj5pDyj1_U6DYNYGbny1Lld4,1.6.0,1663192619,2022-09-14T21:56:59.000Z,88,Thank you very much for your review concerning our game. We are always collecting user feedback and emails that we can apply with updates.,1663205877.0,2022-09-15T01:37:57.000Z
There's No reason for me to log in with anything other than Google Play. No way am I logging into any game other than through Google Play. Figure it out then maybe I will reinstall.,1,100842397047745158660,Tonia Bartholomew,https://play-lh.googleusercontent.com/a/ALm5wu2yfKkbUas6yCfF3sUF3HNl_9LcOPdst4dwMOvi=mo,1.6.0,1663607861,2022-09-19T17:17:41.000Z,2,,,
This damn game doesn't make any damn since you can't even use the tockens in the that you win to dress her.Then the dumb game want go on unless you use the tockens you win to unlock a cover when you already have tockens win but you can't use them.IAM DELETING YOUR DUMB CHEP GAME IAM NOT GOING TO BE YOUR FOOL!!!!!!! I GAVE YOU CHANCIES!!!!,1,109207025231189150844,Ericka Gladney,https://play-lh.googleusercontent.com/a/ALm5wu2ueht13MAQSN0FJ2P2OEqiI7eCTNTUfh02mgbo=mo,1.6.0,1663437772,2022-09-17T18:02:52.000Z,7,,,
